appName;categoryID;category;contentRatingID;contentRating;rating;reviews;currentVer;updateYear;updateMonth
Photo Editor & Candy Camera & Grid & ScrapBook;1;ART_AND_DESIGN;1;Everyone;4.1;159;1.0.0;2018;1
Coloring book moana;1;ART_AND_DESIGN;1;Everyone;3.9;967;2.0.0;2018;1
Sketch - Draw & Paint;1;ART_AND_DESIGN;4;Teen;4.5;215644;;2018;6
Pixel Draw - Number Art Coloring Book;1;ART_AND_DESIGN;1;Everyone;4.3;967;01.jan;2018;6
Paper flowers instructions;1;ART_AND_DESIGN;1;Everyone;4.4;167;1.0;2017;3
Smoke Effect Photo Maker - Smoke Editor;1;ART_AND_DESIGN;1;Everyone;3.8;178;01.jan;2018;4
Infinite Painter;1;ART_AND_DESIGN;1;Everyone;4.1;36815;6.1.61.1;2018;6
Garden Coloring Book;1;ART_AND_DESIGN;1;Everyone;4.4;13791;2002.09.02;2017;9
Kids Paint Free - Drawing Fun;1;ART_AND_DESIGN;1;Everyone;4.7;121;08.febr;2018;7
Text on Photo - Fonteee;1;ART_AND_DESIGN;1;Everyone;4.4;13880;1.0.4;2017;10
Name Art Photo Editor - Focus n Filters;1;ART_AND_DESIGN;1;Everyone;4.4;8788;1.0.15;2018;7
Tattoo Name On My Photo Editor;1;ART_AND_DESIGN;4;Teen;4.2;44829;08.m rc;2018;4
Mandala Coloring Book;1;ART_AND_DESIGN;1;Everyone;4.6;4326;1.0.4;2018;6
3D Color Pixel by Number - Sandbox Art Coloring;1;ART_AND_DESIGN;1;Everyone;4.4;1518;2001.02.03;2018;8
Learn To Draw Kawaii Characters;1;ART_AND_DESIGN;1;Everyone;3.2;55;;2018;6
Photo Designer - Write your name with shapes;1;ART_AND_DESIGN;1;Everyone;4.7;3632;01.m rc;2018;7
350 Diy Room Decor Ideas;1;ART_AND_DESIGN;1;Everyone;4.5;27;1.0;2017;11
FlipaClip - Cartoon animation;1;ART_AND_DESIGN;1;Everyone;4.3;194216;2002.02.05;2018;8
ibis Paint X;1;ART_AND_DESIGN;1;Everyone;4.6;224399;2005.05.04;2018;7
Logo Maker - Small Business;1;ART_AND_DESIGN;1;Everyone;4;450;4.0;2018;4
Boys Photo Editor - Six Pack & Men's Suit;1;ART_AND_DESIGN;1;Everyone;4.1;654;01.jan;2018;3
Superheroes Wallpapers | 4K Backgrounds;1;ART_AND_DESIGN;2;Everyone 10+;4.7;7699;2.2.6.2;2018;7
Mcqueen Coloring pages;1;ART_AND_DESIGN;1;Everyone;4.7;61;1.0.0;2018;3
HD Mickey Minnie Wallpapers;1;ART_AND_DESIGN;1;Everyone;4.7;118;2001.01.03;2018;7
Harley Quinn wallpapers HD;1;ART_AND_DESIGN;1;Everyone;4.8;192;05.jan;2018;4
Colorfit - Drawing & Coloring;1;ART_AND_DESIGN;1;Everyone;4.7;20260;1.0.8;2017;10
Animated Photo Editor;1;ART_AND_DESIGN;1;Everyone;4.1;203;03.jan;2018;3
Pencil Sketch Drawing;1;ART_AND_DESIGN;1;Everyone;3.9;136;6.0;2018;7
Easy Realistic Drawing Tutorial;1;ART_AND_DESIGN;1;Everyone;4.1;223;1.0;2017;8
Pink Silver Bow Keyboard Theme;1;ART_AND_DESIGN;1;Everyone;4.2;1120;6.7.12.2018;2018;7
Art Drawing Ideas;1;ART_AND_DESIGN;1;Everyone;4.1;227;02.jan;2018;5
Anime Manga Coloring Book;1;ART_AND_DESIGN;1;Everyone;4.5;5035;20.febr;2018;7
Easy Origami Ideas;1;ART_AND_DESIGN;1;Everyone;4.2;1015;1.1.0;2018;1
I Creative Idea;1;ART_AND_DESIGN;4;Teen;4.7;353;06.jan;2018;4
How to draw Ladybug and Cat Noir;1;ART_AND_DESIGN;1;Everyone;3.8;564;01.febr;2018;7
UNICORN - Color By Number & Pixel Art Coloring;1;ART_AND_DESIGN;1;Everyone;4.7;8145;1.0.9;2018;8
Floor Plan Creator;1;ART_AND_DESIGN;1;Everyone;4.1;36639;;2018;7
PIP Camera - PIP Collage Maker;1;ART_AND_DESIGN;1;Everyone;4.7;158;03.jan;2017;11
How To Color Disney Princess - Coloring Pages;1;ART_AND_DESIGN;1;Everyone;4;591;1;2018;3
Drawing Clothes Fashion Ideas;1;ART_AND_DESIGN;1;Everyone;4.2;117;2.0.1;2018;7
Sad Poetry Photo Frames 2018;1;ART_AND_DESIGN;1;Everyone;4.5;176;1.0;2018;4
Textgram - write on photos;1;ART_AND_DESIGN;1;Everyone;4.4;295221;;2018;7
Paint Splash!;1;ART_AND_DESIGN;1;Everyone;3.8;2206;1.46;2018;4
Popsicle Sticks and Similar DIY Craft Ideas;1;ART_AND_DESIGN;1;Everyone;4.2;26;1.0.0;2018;1
Install images with music to make video without Net - 2018;1;ART_AND_DESIGN;1;Everyone;4.6;1070;06.jan;2017;11
Little Teddy Bear Colouring Book Game;1;ART_AND_DESIGN;1;Everyone;4.2;85;2.0.0;2017;12
How To Draw Food;1;ART_AND_DESIGN;1;Everyone;4.3;845;1.0;2018;5
Monster Truck Stunt 3D 2019;2;AUTO_AND_VEHICLES;1;Everyone;4.2;367;1.0;2018;5
Real Tractor Farming;2;AUTO_AND_VEHICLES;1;Everyone;4;1598;11.0;2018;7
Ultimate F1 Racing Championship;2;AUTO_AND_VEHICLES;1;Everyone;3.8;284;3.0;2018;7
Used Cars and Trucks for Sale;2;AUTO_AND_VEHICLES;1;Everyone;4.6;17057;;2018;7
American Muscle Car Race;2;AUTO_AND_VEHICLES;1;Everyone;3.9;129;3.0;2018;7
Offroad Oil Tanker Driver Transport Truck 2019;2;AUTO_AND_VEHICLES;1;Everyone;4.3;542;4.0;2018;7
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru;2;AUTO_AND_VEHICLES;1;Everyone;4.9;10479;2001.07.01;2018;7
Gas Prices (Germany only);2;AUTO_AND_VEHICLES;1;Everyone;4.4;805;2002.05.01;2018;7
Extreme Rally Championship;2;AUTO_AND_VEHICLES;1;Everyone;4.2;129;3.0;2018;7
Restart Navigator;2;AUTO_AND_VEHICLES;1;Everyone;4;1403;1.0.1;2014;8
CityBus Lviv;2;AUTO_AND_VEHICLES;1;Everyone;4.6;534;2001.09.01;2018;7
CDL Practice Test 2018 Edition;2;AUTO_AND_VEHICLES;1;Everyone;4.9;7774;07.jan;2018;7
Free VIN Report for Used Cars;2;AUTO_AND_VEHICLES;1;Everyone;4.6;2431;1.37;2018;6
DMV Permit Practice Test 2018 Edition;2;AUTO_AND_VEHICLES;1;Everyone;4.9;6090;07.jan;2018;7
Check Vehicle Tax;2;AUTO_AND_VEHICLES;1;Everyone;3.9;295;2000.02.01;2018;7
Used Cars Mexico;2;AUTO_AND_VEHICLES;1;Everyone;4;190;1.0;2016;10
Ulysse Speedometer;2;AUTO_AND_VEHICLES;1;Everyone;4.3;40211;;2018;7
REPUVE;2;AUTO_AND_VEHICLES;1;Everyone;3.9;356;;2018;5
Used cars for sale - Trovit;2;AUTO_AND_VEHICLES;1;Everyone;4.2;52530;4.47.3;2018;7
SK Enca Direct Malls - Used Cars Search;2;AUTO_AND_VEHICLES;1;Everyone;3.6;1379;2002.02.21;2018;8
PDD-UA;2;AUTO_AND_VEHICLES;1;Everyone;4.8;736;09.febr;2018;7
Tickets SDA 2019 + Exam RF;2;AUTO_AND_VEHICLES;1;Everyone;4.8;7021;1.79;2018;7
Super Cars Wallpapers And Backgrounds;2;AUTO_AND_VEHICLES;1;Everyone;4.6;197;03.jan;2018;6
Police Detector (Speed Camera Radar);2;AUTO_AND_VEHICLES;2;Everyone 10+;4.3;3574;06.jan;2018;7
Best Car Wallpapers;2;AUTO_AND_VEHICLES;1;Everyone;4.5;994;06.jan;2018;3
Tickets + PDA 2018 Exam;2;AUTO_AND_VEHICLES;1;Everyone;4.9;197136;31.aug;2018;7
Find&Save - Local Shopping;18;SHOPPING;1;Everyone;4;4602;3.0.0;2017;12
Receipt Hog - Receipts to Cash;18;SHOPPING;4;Teen;4.5;72596;2004.02.02;2018;8
ShopSavvy Barcode & QR Scanner;18;SHOPPING;1;Everyone;4.1;110425;2013.06.04;2018;6
Newegg Mobile;18;SHOPPING;1;Everyone;4.5;35497;4.16.0;2018;7
REI  Shop Outdoor Gear;18;SHOPPING;1;Everyone;4.4;3878;2005.06.08;2018;5
The Home Depot;18;SHOPPING;1;Everyone;4.3;44071;10.m j;2018;7
Boxed Wholesale;18;SHOPPING;1;Everyone;3.8;6380;;2018;8
La La-Shop Designer Brands Street;18;SHOPPING;1;Everyone;4.5;5123;2004.04.04;2018;7
TouchNote: Cards & Gifts;16;PHOTOGRAPHY;1;Everyone;4.1;19232;2007.04.02;2018;8
FreePrints  Free Photos Delivered;16;PHOTOGRAPHY;1;Everyone;4.8;109500;2.18.2;2018;8
Groovebook Photo Books & Gifts;16;PHOTOGRAPHY;1;Everyone;4;21159;2002.01.09;2018;1
Snapfish;16;PHOTOGRAPHY;1;Everyone;4.1;32398;2009.06.04;2018;8
Google Photos;16;PHOTOGRAPHY;1;Everyone;4.5;10858556;;2018;8
Motorola Camera;16;PHOTOGRAPHY;1;Everyone;3.6;219745;;2016;1
HD Camera - Best Cam with filters & panorama;16;PHOTOGRAPHY;1;Everyone;4.5;38953;2002.02.04;2018;7
LightX Photo Editor & Photo Effects;16;PHOTOGRAPHY;1;Everyone;4.7;259450;1.0.4;2018;5
Adobe Photoshop Express:Photo Editor Collage Maker;16;PHOTOGRAPHY;1;Everyone;4.2;914804;5.0.508;2018;7
HD Camera - Quick Snap Photo & Video;16;PHOTOGRAPHY;1;Everyone;4.5;21841;2001.06.04;2018;7
B612 - Beauty & Filter Camera;16;PHOTOGRAPHY;1;Everyone;4.4;5282578;2007.06.05;2018;7
Waterfall Photo Frames;16;PHOTOGRAPHY;1;Everyone;4.5;10349;1.6.0;2017;7
Photo frame;16;PHOTOGRAPHY;1;Everyone;4.5;859;2001.05.01;2018;7
Huji Cam;16;PHOTOGRAPHY;1;Everyone;4.4;40289;02.febr;2018;7
Unicorn Photo;16;PHOTOGRAPHY;1;Everyone;3.7;3362;;2018;5
HD Camera;16;PHOTOGRAPHY;1;Everyone;4.3;49680;2001.08.05;2018;7
Makeup Editor -Beauty Photo Editor & Selfie Camera;16;PHOTOGRAPHY;3;Mature 17+;4.5;3378;07.jan;2018;7
Makeup Photo Editor: Makeup Camera & Makeup Editor;16;PHOTOGRAPHY;1;Everyone;4.4;10525;2008.09.09;2018;7
Moto Photo Editor;16;PHOTOGRAPHY;1;Everyone;3.3;3492;1.5.3.8;2018;6
InstaBeauty -Makeup Selfie Cam;16;PHOTOGRAPHY;1;Everyone;4.3;654419;;2018;2
Garden Photo Frames - Garden Photo Editor;16;PHOTOGRAPHY;1;Everyone;4.4;1864;22.0;2018;5
Photo Frame;16;PHOTOGRAPHY;1;Everyone;4.5;74476;06.jan;2018;6
Camera360 Lite - Selfie Camera;16;PHOTOGRAPHY;1;Everyone;4.4;221858;;2018;8
Selfie Camera - Photo Editor & Filter & Sticker;16;PHOTOGRAPHY;1;Everyone;4.2;401820;;2018;4
Night Photo Frame;16;PHOTOGRAPHY;1;Everyone;4.5;4400;2.0.1;2018;7
YouCam Makeup - Magic Selfie Makeovers;16;PHOTOGRAPHY;1;Everyone;4.6;3337956;;2018;8
Selfie Photo Editor;16;PHOTOGRAPHY;1;Everyone;4.6;11677;1.0.3;2018;7
BeautyPlus - Easy Photo Editor & Selfie Camera;16;PHOTOGRAPHY;1;Everyone;4.4;3158047;6.9.031;2018;7
ASUS Gallery;16;PHOTOGRAPHY;1;Everyone;4.3;125259;;2018;8
My Photo Keyboard;16;PHOTOGRAPHY;1;Everyone;4.3;56114;06.febr;2018;7
Kids Photo Frames;16;PHOTOGRAPHY;1;Everyone;4.6;15700;03.febr;2018;7
Pencil Photo Sketch-Sketching Drawing Photo Editor;16;PHOTOGRAPHY;1;Everyone;4.4;16523;1.2.31;2018;7
Photo Collage - Layout Editor;16;PHOTOGRAPHY;1;Everyone;4.5;285788;1.8.0.170824_9;2017;12
DSLR Camera Hd Ultra Professional;16;PHOTOGRAPHY;1;Everyone;4.2;4410;01. pr;2018;6
Snap Cat Face Camera;16;PHOTOGRAPHY;1;Everyone;4;5855;06.jan;2018;7
Silent Camera [High Quality];16;PHOTOGRAPHY;1;Everyone;4.4;47090;;2018;7
Photo Frames;16;PHOTOGRAPHY;1;Everyone;4.3;28578;21.j n;2018;7
YouCam Perfect - Selfie Photo Editor;16;PHOTOGRAPHY;1;Everyone;4.5;1579287;;2018;7
Open Camera;16;PHOTOGRAPHY;1;Everyone;4.3;116880;1.43.3;2018;4
Beauty Makeup  Photo Makeover;16;PHOTOGRAPHY;1;Everyone;4.3;21730;1.6.0;2018;5
Blur Image Background Editor (Blur Photo Editor);16;PHOTOGRAPHY;1;Everyone;4.4;62421;04.febr;2018;7
Muzy - Share photos & collages;16;PHOTOGRAPHY;4;Teen;4.4;70189;4.0.10;2015;8
QuickPic - Photo Gallery with Google Drive Support;16;PHOTOGRAPHY;1;Everyone;4.6;847159;2004.07.04;2017;11
Flickr;16;PHOTOGRAPHY;3;Mature 17+;4.3;251951;2004.07.03;2018;7
Camera for Android;16;PHOTOGRAPHY;1;Everyone;4.2;240475;08.m rc;2017;11
Photo Editor Selfie Camera Filter & Mirror Image;16;PHOTOGRAPHY;1;Everyone;4.3;527247;2001.06.01;2018;2
Photo Mixer;16;PHOTOGRAPHY;1;Everyone;3.9;55427;01.m j;2016;3
Photo Editor-;16;PHOTOGRAPHY;1;Everyone;4.3;68070;;2018;5
Wondershare PowerCam;16;PHOTOGRAPHY;1;Everyone;4.2;329160;3.1.8.180529;2018;5
love;16;PHOTOGRAPHY;1;Everyone;4.3;42677;28.jan;2018;6
